id_Mun,id_Prov_Mun,Municipio_PBA,Región,AMBA,Apertura_PBA_UNGS,Apertura_PBA_UNDAV,"lat,long"
672,6-672,Rauch,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.7744147069731,-59.0882891430295"
798,6-798,Tapalqué,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.356235979207,-60.0251124031149"
854,6-854,Veinticinco de Mayo,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.4324710847727,-60.1715593513829"
21,6-21,Alberti,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.0315746233701,-60.2802860161867"
112,6-112,Bragado,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.1155662797599,-60.4896499898551"
224,6-224,Chivilcoy,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.8968958292791,-60.0190913736679"
483,6-483,Lobos,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.1854255524473,-59.0978341614174"
532,6-532,Mercedes,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.6507332135669,-59.4313874409776"
574,6-574,Navarro,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.0059067203188,-59.278283983419"
693,6-693,Roque Pérez,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.4005763100486,-59.3348321512827"
707,6-707,Saladillo,Región X,Interior PBA,Interior PBA,Interior PBA,"-35.6388389850311,-59.7793770328238"
784,6-784,Suipacha,Región X,Interior PBA,Interior PBA,Interior PBA,"-34.7688145912203,-59.6868293550907"
98,6-98,Berisso,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.8702938013178,-57.8833253400923"
119,6-119,Brandsen,Región XI,AMBA,Tercer cordón,Tercer cordón,"-35.167959424188,-58.237330232704"
134,6-134,Cañuelas,Región XI,AMBA,Tercer cordón,Tercer cordón,"-35.0538388361933,-58.7619911854448"
168,6-168,Castelli,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.0909178515776,-57.8074789990565"
217,6-217,Chascomús,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.5742063886139,-58.0112814410856"
238,6-238,Dolores,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.3153891837638,-57.6754615552065"
245,6-245,Ensenada,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.862418018177,-57.9089420564307"
301,6-301,General Belgrano,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.7656761989974,-58.4971632728667"
343,6-343,General Paz,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.5164055811526,-58.3188155127257"
441,6-441,La Plata,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.9408890719731,-58.0300203348705"
466,6-466,Lezama,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.8728655653935,-57.8969843395556"
505,6-505,Magdalena,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.0807393716246,-57.5176018747267"
547,6-547,Monte,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.4410438883647,-58.8034514462272"
630,6-630,Pila,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.0041852531469,-58.1410676867243"
648,6-648,Presidente Perón,Región XI,AMBA,Tercer cordón,Tercer cordón,"-34.9179865320528,-58.3821570397156"
655,6-655,Punta Indio,Región XI,Interior PBA,Interior PBA,Interior PBA,"-35.3874096777144,-57.338171581753"
778,6-778,San Vicente,Región XI,AMBA,Tercer cordón,Tercer cordón,"-35.0259018141174,-58.4224036114375"
812,6-812,Tordillo,Región XI,Interior PBA,Interior PBA,Interior PBA,"-36.5208605076063,-57.3249387125515"
427,6-427,La Matanza,Región XII,AMBA,La Matanza,La Matanza,"-34.6811417569864,-58.5637386018549"
