id_Mun,id_Prov_Mun,Municipio_PBA,Región,AMBA,Apertura_PBA_UNGS,Apertura_PBA_UNDAV,"lat,long",pob_2015,pob_2016,pob_2017,pob_2018,pob_2019,pob_2020,pob_2021,pob_2022,pob_2023,pob_2024,pob_2025
329,6-329,General Las Heras,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.9269092951278,-58.9467069523639",16226,16469,16710,16948,17182,17412,17639,17863,18083,18300,18514
364,6-364,General Rodríguez,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.6064310690385,-58.9521606355049",98895,101116,103308,105469,107599,109695,111759,113795,115802,117780,119727
408,6-408,Hurlingham,Región VII,AMBA,Primer cordón,Segundo cordón,"-34.5898718836804,-58.6374410256827",188280,189371,190447,191508,192554,193583,194597,195596,196582,197553,198509
410,6-410,Ituzaingó,Región VII,AMBA,Primer cordón,Segundo cordón,"-34.6506041257798,-58.6717219563032",175177,176356,177521,178670,179801,180914,182011,182993,183959,184910,185845
497,6-497,Luján,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.5633574146129,-59.1211183187554",113564,114848,116114,117364,118593,119805,120998,122174,123334,124477,125602
525,6-525,Marcos Paz,Región VII,AMBA,Tercer cordón,Tercer cordón,"-34.7843157277886,-58.8353369561356",60607,61811,63001,64174,65329,66466,67586,68691,69780,70853,71909
539,6-539,Merlo,Región VII,AMBA,Segundo cordón,Segundo cordón,"-34.6649832276938,-58.7279481147137",569165,576737,584267,591763,599119,606413,613509,620307,626975,633540,639681
560,6-560,Moreno,Región VII,AMBA,Segundo cordón,Segundo cordón,"-34.6512923274789,-58.7900019150563",498713,507403,516093,524675,533292,541691,549930,558068,566103,574034,581729
568,6-568,Morón,Región VII,AMBA,Primer cordón,Primer cordón,"-34.64745733229,-58.6218615473725",321351,320781,320218,319674,319138,318632,318104,317584,317073,316559,316073
840,6-840,Tres de Febrero,Región VII,AMBA,Primer cordón,Primer cordón,"-34.6079360503084,-58.5639388502977",343792,343877,343917,343961,344011,344067,344117,344172,344221,344296,344354
42,6-42,Ayacucho,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.1527609909269,-58.4883791744593",20911,20990,21067,21143,21218,21291,21364,21436,21506,21577,21645
63,6-63,Balcarce,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.8463826225599,-58.2554911690821",44966,45116,45262,45408,45551,45691,45829,45967,46102,46234,46365
280,6-280,General Alvarado,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.2670059243839,-57.845029450049",42066,42494,42917,43334,43744,44149,44546,44938,45326,45707,46083
308,6-308,General Guido,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.6431665881674,-57.79050239427",2867,2872,2877,2882,2887,2892,2897,2901,2906,2910,2915
315,6-315,General Juan Madariaga,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.0019581916172,-57.1358377703967",20767,20938,21106,21273,21436,21596,21755,21912,22065,22217,22367
336,6-336,General Lavalle,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.4080860931986,-56.9433578441891",4099,4172,4246,4318,4389,4459,4528,4596,4663,4729,4794
357,6-357,General Pueyrredón,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.0064494389904,-57.5438377446162",640855,644055,647215,650332,653406,656456,659462,662430,665357,668242,671085
420,6-420,La Costa,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.5738770090167,-56.6908898289024",74439,75285,76121,76945,77756,78554,79341,80118,80883,81637,82379
476,6-476,Lobería,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.1633849365655,-58.7818467925954",17986,18047,18107,18166,18224,18281,18338,18393,18447,18502,18555
511,6-511,Maipú,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-36.862958717171,-57.8831233046967",10314,10328,10343,10357,10372,10388,10402,10419,10435,10452,10469
518,6-518,Mar Chiquita,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.4465162041595,-57.7293917660172",23420,23816,24206,24591,24971,25344,25712,26075,26432,26784,27131
581,6-581,Necochea,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.5712233385862,-58.726242013558",94902,95126,95348,95568,95783,95995,96204,96410,96614,96814,97011
644,6-644,Pinamar,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.1138217780526,-56.8580775492395",28789,29364,29931,30491,31042,31584,32119,32646,33166,33677,34182
742,6-742,San Cayetano,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-38.3457892506734,-59.6067598768668",8638,8671,8704,8734,8766,8797,8827,8857,8887,8915,8945
791,6-791,Tandil,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.3286954878065,-59.1368975553779",132199,133659,135101,136522,137922,139300,140657,141996,143314,144614,145893
868,6-868,Villa Gesell,Región VIII,Interior PBA,Interior PBA,Interior PBA,"-37.2632305337621,-56.974558550037",35044,35660,36266,36865,37454,38034,38606,39170,39726,40273,40812
49,6-49,Azul,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.7774470032766,-59.8634430460597",66782,66965,67144,67321,67495,67667,67835,68002,68167,68329,68487
84,6-84,Benito Juárez,Región IX,Interior PBA,Interior PBA,Interior PBA,"-37.6742849779693,-59.8048051838122",20482,20493,20503,20513,20523,20532,20542,20551,20561,20570,20579
105,6-105,Bolívar,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.2298792676141,-61.1139170852053",35244,35393,35540,35684,35828,35969,36108,36244,36378,36512,36642
287,6-287,General Alvear,Región IX,Interior PBA,Interior PBA,Interior PBA,"-36.0217418765863,-60.014505384316",11361,11385,11410,11433,11456,11480,11503,11524,11546,11568,11590
322,6-322,General La Madrid,Región IX,Interior PBA,Interior PBA,Interior PBA,"-37.2496672842178,-61.2621992089263",10763,10738,10713,10689,10665,10642,10619,10596,10573,10551,10529
